Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2017-11-06,ARROZ INTEGRAL E FEIJÃO,Torta de aveia e soja vegetariana,------,Pepino,Laranja pera,Abacaxí,PÃO E CAFÉ,"Contém glúten no pão, na torta de aveia e soja vegetariana. Não contém lactose e ovos."
2017-11-07,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,Chuchu refogado,Escarola,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-11-08,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,------,Beterraba cozida,Laranja pera,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-11-10,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,------,Almeirão,Banana nanica,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-13,ARROZ INTEGRAL E FEIJÃO,Macarrão com molho de lentilha,------,Alface,Laranja,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-14,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Abóbora refogada,Acelga,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-16,ARROZ INTEGRAL E FEIJÃO,Pts com legumes,Cenoura refogada,Escarola,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-17,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,------,Repolho bicolor,Banana,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-21,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,Quibebe,ACELGA,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-22,ARROZ INTEGRAL E FEIJÃO,Yakisoba vegetariano,Batata refogada,Escarola,Laranja,Caju,PÃO E CAFÉ,Contém glúten no pão e no macarrão. Não contém ovos e lactose.
2017-11-23,ARROZ INTEGRAL E FEIJÃO,Polenta com molho de ervilha,------,Alface lisa com rabanete,Maçã,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-24,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,------,Berinjela,MELANCIA,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-27,ARROZ INTEGRAL E FEIJÃO,Torta de escarola e ervilha,Escarola refogada,Beterraba ralada,Maçã,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-11-28,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Batata refogada,Couve com laranja,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-11-29,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,Chuchu refogado,Acelga com couve,Laranja,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-11-30,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,--,Alface,Maçã,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
