Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2014-01-02,ARROZ E FEIJÃO,LINGUIÇA ASSADA ACEBOLADA,POLENTA AO SUGO,REPOLHO CENOURA RALADA,DOCE DE MAMÃO,CAJÚ,PÃO E CAFÉ,
2014-01-03,ARROZ E FEIJÃO,BIFE AO MOLHO MADEIRA,QUIBEBE,"ALFACE/CHUCHU COM OVOS,CEBOLA RALADA E CHEIRO VERD",SAGÚ,TANGERINA,PÃO E CAFÉ,
2014-01-06,ARROZ E FEIJÃO,COPA LOMBO AO MOLHO DE LIMÃO,VIRADO DE FOLHAS,CHICÓRIA/PEPINO,MELÃO,MARACUJÁ,PÃO E CAFÉ,
2014-01-07,ARROZ E FEIJÃO,"COZIDO A PORTUGUESA(CARNE BOVINA ,BACON,PIMENTÃO,",ACELGA REFOGADA,"ALMEIRÃO,MACARRONESE",GELATINA DE MORANGO,ABACAXI,PÃO E CAFÉ,
2014-01-08,ARROZ E FEIJÃO,STEAK DE FRANGO A PIZZAIOLO,CENOURA SAUTÊ,ESCAROLA/BATATA,BANANA,LARANJA,PÃO E CAFÉ,
2014-01-09,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,ALFACE/ABOBRINHA,PUDIM DE CHOCOLATE,LIMÃO,PÃO E CAFÉ,
2014-01-10,ARROZ E FEIJÃO,FILÉ DE FRANGO AO MOLHO DE MOSTARDA,REPOLHO REFOGADO,"CHICÓRIA/SALADA DELICIA(QUIABO,PIMENTÕES E MUSSA",MAÇÃ,CAJÚ,PÃO E CAFÉ,
2014-01-13,ARROZ E FEIJÃO,FILÉ DE PESCADA AO MOLHO DE MARACUJÁ,PIRÃO,ACELGA/CHUCHU COM AZEITONAS,MELANCIA,TANGERINA,PÃO E CAFÉ,
2014-01-14,ARROZ E FEIJÃO,LAGARTO RECHEADO AO MOLHO ROTY,"CAPONATA DE BERINJELA(berinjela,pimentões,cebola",ALFACE/PEPINO,BANANA,ABACAXI,PÃO E CAFÉ,
2014-01-15,ARROZ E FEIJÃO,"CARNE MOIDA COM CENOURA,MILHO,ERVILHA E OVOS",MACARRÃO AO MOLHO BRANCO,CATALONHA/ABÓBRINHA ASSADA,SALADA DE FRUTAS,LIMÃO,PÃO E CAFÉ,
2014-01-16,ARROZ E FEIJÃO,PERNIL AO MOLHO DE ALHO PORÓ,"FAROFA RICA(ovos,milho,ervilha e azeitonas)",RÚCULA/CEBOLA ASSADA,MELÃO,MARACUJÁ,PÃO E CAFÉ,
2014-01-17,ARROZ E FEIJÃO,CUBOS DE CARNE COM MANDIOCA E AZEITONA,CHUCHU AO BACON,COUVE/BETERRABA COZIDA,CREME DE BAUNILHA COM ABACAXI,LIMÃO,PÃO E CAFÉ,
2014-01-20,ARROZ E FEIJÃO,BIFE ACEBOLADO,CUSCUZ MOLE,REPOLHO BICOLOR/TOMATE,MAX GOIABINHA,MANGA,PÃO E CAFÉ,
2014-01-21,ARROZ E FEIJÃO,COXA DE FRANGO AO ALECRIM,BATATA GRATINADA,MIX DE FOLHAS/PEPINO,MIXIRICA,CAJÚ,PÃO E CAFÉ,
2014-01-22,ARROZ E FEIJÃO,KIBE ASSADO,REPOLHO VERDE,ALFACE/TABULE,BANANA,TANGERINA,PÃO E CAFÉ,
2014-01-23,ARROZ E FEIJÃO,BIFE APIZZAIOLO,VAGEM COM CENOURA SAUTÊ,CHICÓRIA /MACARRONESE,IOGURTE,UVA,PÃO E CAFÉ,
2014-01-24,ARROZ E FEIJÃO,FILÉ DE FRANGO ACEBOLADO,CREME DE ERVILHA,ESCAROLA/VINAGRETE,MAMÃO,LIMÃO,PÃO E CAFÉ,
2014-01-27,ARROZ E FEIJÃO,Almôndega,ESCAROLA REPOLHO E ACELGA REPOLHO REFOGADAS,ACELGA COM OREGANO/SALADA TRICOLOR,BARRINHA DE CEREAL,MARACUJÁ,PÃO E CAFÉ,
2014-01-28,ARROZ E FEIJÃO,BIFE ACEBOLADO,COUVE FLOR SAUTÊ,ALFACE AMERICANA/TRIGO EM GRÃOS AO VINAGRETE,SORVETE,ABACAXI,PÃO E CAFÉ,
2014-01-29,ARROZ E FEIJÃO,SALSICHA A PAMODORO,PURÊ DE BATATA,ALMEIRÃO/BERINJELA TEMPERADA,Melão,MANGA,PÃO E CAFÉ,
2014-01-30,ARROZ E FEIJÃO,COPA LOMBO ASSADO,"FAROFA RICA(ovos,milho,ervilha e azeitonas)",TOMATE (COUVE MANTEIGA COM LARANJA EM CUBOS),GELATINA DE UVA,LIMÃO,PÃO E CAFÉ,
2014-01-31,ARROZ E FEIJÃO,LASANHA A BOLONHESA,ACELGA REFOGADA,ALFACE/BETERRABA RALADA,MAMÃO,MARACUJÁ,PÃO E CAFÉ,
2014-02-03,ARROZ E FEIJÃO,ALMONDEGAS AO MOLHO SUGO,POLENTA CREMOSA COM QUEIJO,REPOLHO CENOURA RALADA,DOCE DE ABÓBORA COM COCO,CAJÚ,PÃO E CAFÉ,
2014-02-04,ARROZ E FEIJÃO,FILÉ DE FRANGO ACEBOLADO,ABÓBORA REFOGADA,RÚCULA/TOMATE,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2014-02-05,ARROZ E FEIJÃO,"PICADINHO A PROVENÇAL ( ACEM,CEBOLA,PIMENTAO E TO","FAROFA RICA(ovos,milho,ervilha e azeitonas)",ALFACE/GRÃO DE BICO CCOM VINAGRETE,GELATINA DE LIMÃO,ABACAXI,PÃO E CAFÉ,
2014-02-06,ARROZ E FEIJÃO,PERNIL EM CUBOS,COUVE REFOGADA,CHICÓRIA/CHUCHU NA SALSA,GELATINA DE LIMÃO,ABACAXI,PÃO E CAFÉ,
2014-02-07,ARROZ E FEIJÃO,"BIFE A GIRARDELLI (TOMATE,MOLHO ALHO E PRESUNTO EM","CAPONATA DE BERINJELA(berinjela,pimentões,cebola",ESCAROLA/PEPINO,LARANJA,LIMÃO,PÃO E CAFÉ,
2014-02-10,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,ACELGA/NABO COM SHOYO,BARRINHA DE CEREAL,MARACUJÁ,PÃO E CAFÉ,
2014-02-11,ARROZ E FEIJÃO,FILÉ DE PESCADA A PORTUGUESA,BATATA CORADA,ALMEIRÃO/COUVE FLOR,ABACAXI,LARANJA,PÃO E CAFÉ,
2014-02-12,ARROZ E FEIJÃO,LAGARTO ASSADO AO MOLHO MADEIRA,"VIRADO DE REPOLHO,AZEITONA E MILHO",AGRIÃO/TOMATE,MELANCIA,MANGA,PÃO E CAFÉ,
2014-02-13,ARROZ E FEIJÃO,COXA DE FRANGO AO ALECRIM,MACARRÃO AO SUGO,ALFACE/ABOBRINHA ASSADA,PUDIM DE MORANGO,CAJÚ,PÃO E CAFÉ,
2014-02-14,ARROZ E FEIJÃO,LINGUICA TOSCANA ASSADA,QUIBEBE,MIX DE FOLHAS/RABANETE,BANANA,TANGERINA,PÃO E CAFÉ,
2014-02-17,ARROZ E FEIJÃO,FILÉ DE FRRANGO AO MOLHO DE MOSTARDA,CENOURA SAUTÊ,REPOLHO/TABULE,SORVETE DE MASSA,UVA,PÃO E CAFÉ,
2014-02-18,ARROZ E FEIJÃO,"CARNE MOIDA COM LEGUMES(CENOURA,BATATA,MILHO E ERV",REPOLHO REFOGADA COM BACON,RÚCULA /ABÓBORA TEMPERADA,BARRINHA DE CEREAL,MANGA,PÃO E CAFÉ,
2014-02-19,ARROZ E FEIJÃO,BIFE A PIZZAIOLO,RISOTO A JARDINEIRA,ALFACE/TOMATE,MAMÃO,LIMÃO,PÃO E CAFÉ,
2014-02-20,ARROZ E FEIJÃO,COXA DE FRANGO CROCANTE(FARINHA DE MILHO TEMPERAD,LEGUMES NA MANTEIGA,CHICÓRIA/PEPINO,DOCE DE Abóbora,MARACUJÁ,PÃO E CAFÉ,
2014-02-21,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO MADEIRA,"FAROFA RICA(OVOS,MILHO ERVILHA E AZEITONA)",ESCAROLA/CHUCHU NA SALSA,MELÃO,LARANJA,PÃO E CAFÉ,
2014-02-24,ARROZ E FEIJÃO,SALSICHA AO MOLHO,PURÊ A CABOCLA (BATATA ABÓBORA),ACELGA/BETERRABA RALADA,SAGÚ,MANGA,PÃO E CAFÉ,
2014-02-25,ARROZ E FEIJÃO,FILÉ DE FRANGO GRATINADO,VAGEM COM CENOURA SAUTÊ,ALMEIRÃO/BATATA BOLINHA AO VINAGRETE,IOGURTE,CAJÚ,PÃO E CAFÉ,
2014-02-26,ARROZ E FEIJÃO,COPA LOMBO AO MOLHO DE LIMÃO,CUSCUZ MOLE,AGRIÃO/VINAGRETE,MELANCIA,TANGERINA,PÃO E CAFÉ,
2014-02-27,ARROZ E FEIJÃO,LASANHA,CHUCHU COM OVOS,ALFACE/TOMATE,CURAU,UVA,PÃO E CAFÉ,
2014-02-28,ARROZ E FEIJÃO,CUBOS DE CARNE COM AZEITONAS,"FAROFA RICA(ovos,milho,ervilha e azeitonas)",MIX DE FOLHAS/FEIJÃO BRANCO TEMPERADO,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2014-03-03,ARROZ E FEIJÃO,STEAK A PIZZAIOLO,ABOBRINHA SAUTÊ,ACELGA/CENOURA RALADA,SORVETE DE MASSA,CAJÚ,PÃO E CAFÉ,
2014-03-04,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO SHOYO,"FAROFA RICA(OVOS, MILHO ERVILHA E AZEITONA",AGRIÃO/TOMATE,ABACAXI,TANGERINA,PÃO E CAFÉ,
2014-03-05,ARROZ E FEIJÃO,FILE DE FRANGO GRATINADO,CHUCHU NA SALSA,ALFACE/BATATA DOCE COM SALSÃO,PUDIM DE SPLITE,UVA,PÃO E CAFÉ,
2014-03-06,ARROZ E FEIJÃO,CUBOS DE CARNE COM MANDIOCA,"JARDINEIRA DE LEGUMES(BATATA,ERVILHA.MILHO,CENOURA",ALMEIRÃO/LENTILHA TEMPERADA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2014-03-07,ARROZ E FEIJÃO,PERNIL ASSADO AO MOLHO DE ABACAXI,COUVE REFOGADA,CATALONIA/PEPINO,CURAU,LIMÃO,PÃO E CAFÉ,
2014-03-10,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA PALHA,REPOLHO BICOLOR/BETERRABA RALADA,GOIABA,MARACUJÁ,PÃO E CAFÉ,
2014-03-11,ARROZ E FEIJÃO,ROLÊ DE FRANGO RECHEADO,VAGEM COM CENOURA REFOGADOS,CHICÓRIA/ABÓBORA TEMPERADA,LARANJA,ABACAXI,PÃO E CAFÉ,
2014-03-12,ARROZ E FEIJÃO,BIFE ACEBOLADO,"CAPONATA DE BERINJELA(BERINJELA,PIMENTÕES,CEBOLA",COUVE MANTEIGA/TABULE,SAGÚ,MANGA,PÃO E CAFÉ,
2014-03-13,ARROZ E FEIJÃO,COXA DE FRANGO AO ALECRIM,FAROFA,ESCAROLA/TOMATE,BANANA,CAJÚ,PÃO E CAFÉ,
2014-03-14,ARROZ E FEIJÃO,LINGUIÇA ASSADA,MACARRÃO AO ALHO E OLEO,ALMEIRÃO/CENOURA RALADA,SPUMONE,TANGERINA,PÃO E CAFÉ,
2014-03-17,ARROZ E FEIJÃO,FALSA BACALHOADA,CUSCUZ MOLE,CENOURA SAUTÊ,BARRINHA DE CEREAL,UVA,PÃO E CAFÉ,
2014-03-18,ARROZ E FEIJÃO,LAGARTO AO MOLHO MADEIRA,FAROFA DE BANANA,RÚCULA/CHUCHU COM OVOS,FLAN DE CARAMELO,ABACAXI,PÃO E CAFÉ,
