Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2017-11-06,ARROZ INTEGRAL E FEIJÃO,Torta de aveia ao molho de ervilha (em conserva),------,Almeirão,Maçã,Abacaxí,PÃO E CAFÉ,Contém glúten no pão.
2017-11-07,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,-----,Alface,Banana nanica,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose e ovos.
2017-11-08,ARROZ INTEGRAL E FEIJÃO,Macarrão primavera,----,Repolho bicolor,Maçã,Caju,PÃO E CAFÉ,Contém glúten no pão e no macarrão primavera. Não contém lactose. Pode conter ovos no macarrão primavera.
2017-11-09,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,------,Escarola,Laranja pera,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-10,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,------,Alface,Banana nanica,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-13,ARROZ INTEGRAL E FEIJÃO,Legumes agridoce,------,Escarola,Maçã,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-14,ARROZ INTEGRAL E FEIJÃO,Ervilha xadrez,------,Acelga,Banana nanica,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-16,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,------,Alface lisa,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-17,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Batata refogada,Beterraba ralada/ repolho,Laranja,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-21,ARROZ INTEGRAL E FEIJÃO,Quibe de berinjela com cenoura,------,COUVE,Banana,Uva,PÃO E CAFÉ,Contém glúten no pão e no quibe. Não contém ovos e lactose.
2017-11-22,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,------,Berinjela à escabeche,Laranja,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-23,ARROZ INTEGRAL E FEIJÃO,Polenta com molho de ervilha,------,Alface com rabanete,Maçã,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-11-24,ARROZ INTEGRAL E FEIJÃO,Torta de lentilha ao molho de tomate,------,Couve,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não lactose.
2017-11-27,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,Chuchu refogado,Escarola,Banana nanica,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-11-28,ARROZ INTEGRAL E FEIJÃO,Macarrão parafuso integral com ervas,Abobrinha refogada,Alface com pepino,Laranja,Laranja,PÃO E CAFÉ,Contém glúten no pão e no macarrão. Não contém ovos e lactose.
2017-11-29,ARROZ INTEGRAL E FEIJÃO,Yakisoba vegetariano,Polenta cremosa,Couve,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-11-30,ARROZ INTEGRAL E FEIJÃO,Ervilha com legumes,--,Rúcula,Banana,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2017-12-01,ARROZ INTEGRAL E FEIJÃO,Strogonoff vegetariano,--,Acelga com repolho roxo,Banana,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-04,ARROZ INTEGRAL E FEIJÃO,Torta de aveia com soja,--,Couve,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-05,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,--,Alface,Laranja,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-06,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,--,Escarola,Banana,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-07,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,---,Alface,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-08,ARROZ INTEGRAL E FEIJÃO,Pts com legumes,--,Alface,Melancia,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-11,ARROZ INTEGRAL E FEIJÃO,Macarrão integral com legumes,--,Acelga,Melancia,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-13,ARROZ INTEGRAL E FEIJÃO,Torta de aveia e soja com legumes,--,Pepino,Banana,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-14,ARROZ INTEGRAL E FEIJÃO,Abobrinha vegetariana,--,Almeirão com laranja,Banana,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-15,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,Farofa agridoce,Repolho,Banana,Caju,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-18,ARROZ INTEGRAL E FEIJÃO,Polenta com molho de ervilha,--,Escarola,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-19,ARROZ INTEGRAL E FEIJÃO,Grão de bico à chinesa,Polenta cremosa,Berinjela à escabeche,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-20,ARROZ INTEGRAL E FEIJÃO,Abobrinha agridoce,Escarola refogada,Acelga com abacaxi,Salada de frutas,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2017-12-21,ARROZ INTEGRAL E FEIJÃO,Macarrão integral vegetariano,--,Tomate,Uva,Laranja,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral. Não contém lactose.
2018-01-04,ARROZ INTEGRAL E FEIJÃO,Ervilha com legumes,----,Alface,Uva,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-05,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Abobrinha refogada,Repolho,Maçã,Larnaja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-08,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Polenta ao sugo,Tomate,Maçã,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-09,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,------,Alface,Laranja pera,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-10,ARROZ INTEGRAL E FEIJÃO,----,------,Tomate,Maçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-11,ARROZ INTEGRAL E FEIJÃO,Lentilha com cenoura,Macarrão ao alho e óleo,Escarola,Melancia,Tangerina,PÃO E CAFÉ,Contém glúten no pão e no macarrão ao alho e óleo. Não contém lactose.
2018-01-15,ARROZ INTEGRAL E FEIJÃO,Grão de bico à chinesa,Polenta ao sugo,Alface,Laranja pera,Abacaxí,PÃO E CAFÉ,Contém glúten no pão. Não lactose.
2018-01-16,ARROZ INTEGRAL E FEIJÃO,Polenta ao molho de lentilha,------,Pepino,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-17,ARROZ INTEGRAL E FEIJÃO,Macarrão integral com legumes,------,Berinjela,Banana nanica,Laranja,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral. Não contém lactose.
2018-01-18,ARROZ INTEGRAL E FEIJÃO,ervilha xadrez,------,de batata cozida,melancia,de tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-23,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Quiabo refogado,Repolho bicolor,Banana nanica,Abacaxí,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-24,ARROZ INTEGRAL E FEIJÃO,Yakisoba vegetariano,------,Alface,Laranja pera,Uva,PÃO E CAFÉ,Contém glúten no pão e no yakisoba vegetariano. Não contém lactose.
2018-01-25,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,------,Acelga,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-26,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,Melancia,Beterraba cozida,Doce de abóbora em calda,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-29,ARROZ INTEGRAL E FEIJÃO,Proteína de soja com berinjela e cenoura,------,Escarola com laranja,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-30,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,Polenta cremosa,Alface,Laranja pera,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-01-31,ARROZ INTEGRAL E FEIJÃO,Macarrão à primavera,------,Alemirão,Laranja pera,Limão,PÃO E CAFÉ,Contém glúten no pão e no macarrão à primavera. Não contém lactose.
2018-02-01,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,------,Escarola,Doce de abóbora em calda,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-02-05,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,------,Repolho com maçã,Melancia,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-02-07,ARROZ INTEGRAL E FEIJÃO,Proteina de soja com legumes,-----,Escarola com laranja,Figo em calda,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-02-09,ARROZ INTEGRAL E FEIJÃO,Abobrinha agridoce,Couve refogada,Beterraba cozida,Maçã,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-02-27,ARROZ INTEGRAL E FEIJÃO,Macarrão à primavera,Espinafre refogado,beterraba ralada,Banana nanica,Uva,PÃO E CAFÉ,Contém glúten no pão e no macarrão à primavera. Não contém lactose.
2018-02-28,ARROZ INTEGRAL E FEIJÃO,Proteina de soja com legumes,------,Acelga,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-02,ARROZ INTEGRAL E FEIJÃO,Cuscuz vegetariano,------,Pepino,Laranja pera,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-07,ARROZ INTEGRAL E FEIJÃO,Lentilha com legumes,-----,Abobrinha ralada ao vinagrete,Laranja,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-08,ARROZ INTEGRAL E FEIJÃO,Feijão branco com legumes,Repolho refogado,Alface,Banana,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-09,ARROZ INTEGRAL E FEIJÃO,Grão de bico xadrez,-----,Couve,Mçã,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
2018-03-14,ARROZ INTEGRAL E FEIJÃO,Proteina de soja com legumes,-----,Berinjela à escabeche,Banana,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-15,ARROZ INTEGRAL E FEIJÃO,Proteina de soja com legumes,------,Acelga com cenoura,Banana nanica,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-20,ARROZ INTEGRAL E FEIJÃO,Macarrão à primavera,-----,Legumes misto,Banana nanica,Limão,PÃO E CAFÉ,Contém glúten no pão e no macarrão à primavera. Não contém lactose.
2018-03-21,ARROZ INTEGRAL E FEIJÃO,Feijão branco xadrez,----,Almeirão,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-22,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,-----,Couve,Banana nanica,Tangerina,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-23,ARROZ INTEGRAL E FEIJÃO,Proteína de soja em cubos com legumes,-----,Couve com laranja,Laranja pera,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-26,ARROZ INTEGRAL E FEIJÃO,Proteína de soja em cubos com legumes,-----,Escarola,Maçã,Laranja,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-03-27,ARROZ INTEGRAL E FEIJÃO,PTS com legumes,-----,Acelga,Barra de cereal,Abacaxi,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-03,ARROZ INTEGRAL E FEIJÃO,Grão de bico com legumes,------,Tomate com azeitona,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-04,ARROZ INTEGRAL E FEIJÃO,Macarrão integral à primavera,------,Escarola,Banana nanica,Abacaxi,PÃO E CAFÉ,Contém glúten no pão e no macarrão integral à primavera. Não contém lactose.
2018-04-05,ARROZ INTEGRAL E FEIJÃO,Proteina de soja com legumes,-----,Alface,Laranja pera,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-09,ARROZ INTEGRAL E FEIJÃO,Proteína de soja em cubos com legumes,-----,Almeirão,Laranja pera,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-10,ARROZ INTEGRAL E FEIJÃO,Yakisoba vegetariano,Quibebe,Acelga com Beterraba,Maçã,Uva,PÃO E CAFÉ,Contém glúten no pão e no Yakisoba. Não contém lactose.
2018-04-11,ARROZ INTEGRAL E FEIJÃO,Ervilha com legumes,------,Acelga com agrião,Banana nanica,Limão,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-13,ARROZ INTEGRAL E FEIJÃO,Soja com legumes,------,Pepino,Maçã,Manga,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-16,ARROZ INTEGRAL E FEIJÃO,Torta de aveia com soja,-----,Beterraba ralada,Goiabada,Tangerina,PÃO E CAFÉ,Contém glúten no pão e na torta de aveia com soja. Não contém lactose.
2018-04-17,ARROZ INTEGRAL E FEIJÃO,Macarrão integral à primavera,Escarola refogada,Couve,Laranja,Maracujá,PÃO E CAFÉ,Contém glúten no pão. Não contém lactose.
2018-04-18,ARROZ INTEGRAL E FEIJÃO,Lentilha com Legumes,-----,Chuchu,Maçã,Cajú,PÃO E CAFÉ,Contém glúten no pão. Não contém ovos e lactose.
